state_2018,birth_year,sex,race,party_id,ideo5_2019,newsint_2019,pew_religimp_2019,faminc_new_2019,educ_2019,ft_black_2017,ft_hisp_2017,ft_asian_2017,diff_inc_2019
Missouri,1963,Male,White,Democrat,2,2,2,3,2,56,51,55,1
NA,1939,Male,White,Democrat,1,1,2,8,5,97,99,99,1
New York,1957,Male,White,Democrat,3,1,1,12,6,60,71,95,2
Virginia,1963,Male,White,Republican,5,1,1,7,2,64,64,58,5
California,1939,Male,White,Independent,2,1,2,3,5,90,90,89,2
NA,1956,Female,White,Democrat,3,1,2,3,2,91,79,90,3
California,1968,Male,White,Democrat,2,1,3,NA,3,75,75,70,2
NA,1939,Female,White,Democrat,2,1,3,13,6,98,97,100,4
Colorado,1984,Male,Mixed,Democrat,2,1,1,10,6,66,66,74,4
New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,94,100,NA
Indiana,1965,Male,White,Independent,3,1,4,4,2,75,75,75,4
Tennessee,1956,Male,White,Democrat,2,1,4,9,2,82,89,77,2
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,95,96,NA
Not Asked,1951,Male,White,Republican,4,2,1,12,6,89,77,91,5
North Carolina,1951,Female,White,Independent,3,3,3,3,4,61,34,58,4
Maryland,1963,Female,Hispanic,Democrat,2,2,4,9,5,98,95,98,2
New York,1965,Male,Black,Independent,1,1,2,11,5,89,89,81,1
New York,1969,Female,White,Democrat,2,1,4,14,5,89,85,89,2
Oregon,1946,Male,White,Independent,4,1,2,7,5,78,94,95,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,51,49,NA
Hawaii,1955,Male,Other,Independent,5,1,2,NA,6,49,54,80,5
Rhode Island,1971,Male,White,Democrat,3,1,2,6,5,50,30,90,1
New York,1962,Male,White,Independent,3,1,3,4,5,50,33,30,5
Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,70,NA
Michigan,1968,Female,White,Independent,1,1,4,9,5,85,89,89,2
New York,1955,Male,White,Independent,3,1,1,13,6,92,90,94,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,35,95,NA
Maryland,1955,Female,White,Independent,3,1,4,10,6,51,98,51,5
New Jersey,1983,Male,White,Democrat,1,2,4,9,3,100,100,90,1
New York,1965,Male,White,Republican,4,2,2,10,6,76,81,81,5
North Carolina,1959,Male,White,Independent,3,3,3,10,1,50,51,50,3
NA,1967,Female,White,Independent,3,1,4,15,6,50,50,51,5
Pennsylvania,1973,Male,White,Democrat,4,2,1,2,5,50,50,50,5
North Dakota,1950,Female,White,Independent,4,2,1,8,3,92,95,94,5
California,1976,Male,White,Democrat,1,1,4,4,5,100,100,100,4
Indiana,1960,Male,White,Independent,4,1,3,4,3,53,84,50,5
Washington,1978,Female,White,Other,5,3,4,NA,5,50,46,55,5
Not Asked,1956,Female,White,Republican,4,NA,4,2,3,50,32,31,3
Ohio,1983,Female,White,Independent,3,1,4,9,6,76,76,75,2
California,1983,Female,White,Independent,2,3,4,9,6,99,79,98,3
Michigan,1942,Female,White,Democrat,2,2,4,9,4,81,82,96,4
Michigan,1944,Male,White,Republican,4,1,1,4,5,49,50,50,5
New Jersey,1958,Male,White,Independent,2,2,4,NA,6,61,65,99,1
Connecticut,1960,Male,White,Independent,3,2,3,11,6,50,50,50,4
Indiana,1946,Male,White,Democrat,2,1,2,6,5,90,80,90,2
Arizona,1975,Female,White,Independent,3,1,4,NA,2,51,51,51,5
Montana,1948,Male,White,Independent,3,1,2,4,3,77,98,97,2
California,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,25,69,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,NA
Kentucky,1962,Female,White,Democrat,2,1,3,11,6,96,76,92,2
Oregon,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,53,81,NA
California,1967,Male,White,Independent,4,1,2,NA,6,50,50,50,5
Texas,1948,Female,White,Democrat,2,1,2,6,6,80,70,81,2
Louisiana,1937,Male,White,Independent,1,1,4,4,2,91,91,93,5
NA,1968,Male,White,Democrat,2,2,3,11,3,95,94,96,2
New York,1967,Female,White,Independent,2,1,4,9,5,85,90,80,1
West Virginia,1959,Male,White,Republican,4,1,2,9,6,21,40,50,5
NA,1947,Male,White,Independent,3,1,4,11,6,80,80,80,1
Michigan,1959,Male,White,Republican,3,1,1,15,6,100,97,99,5
California,1943,Male,White,Independent,3,1,4,7,5,80,91,100,5
Nevada,1967,Female,White,Democrat,1,1,4,2,4,99,99,99,1
Illinois,1953,Male,White,Independent,3,1,4,NA,3,75,76,75,4
Maryland,1966,Female,White,Democrat,2,1,2,11,5,95,75,75,2
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,94,97,NA
Not Asked,1969,Female,White,Democrat,2,1,3,13,5,79,79,81,1
South Carolina,1970,Male,White,Independent,5,1,2,5,3,50,51,50,5
Missouri,1962,Male,White,Republican,4,1,1,9,5,50,50,50,5
Connecticut,1974,Male,Hispanic,Republican,5,1,2,10,2,21,18,83,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,NA
NA,1965,Female,White,Republican,5,1,1,13,3,1,0,1,5
Ohio,1952,Male,White,Independent,4,1,2,9,3,79,50,81,3
NA,1947,Male,White,Democrat,2,1,3,11,6,89,85,86,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,100,100,NA
Pennsylvania,1968,Male,White,Democrat,2,1,4,10,3,100,100,100,3
Ohio,1945,Male,Other,Republican,4,1,2,12,5,89,91,90,5
District of Columbia,1939,Male,White,Independent,4,1,4,8,6,52,52,81,5
New Jersey,1940,Male,White,Republican,4,1,1,4,2,22,78,81,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,70,82,NA
Arkansas,1985,Female,White,Republican,5,2,1,7,2,50,50,50,3
Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,78,65,NA
Pennsylvania,1950,Male,White,Democrat,3,2,2,NA,3,35,53,51,2
California,1962,Male,White,Republican,5,1,1,13,5,100,100,100,5
South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,80,81,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,56,78,NA
California,1958,Male,White,Democrat,2,2,4,NA,1,31,50,50,2
NA,1954,Male,White,Democrat,3,1,3,6,2,78,79,83,2
NA,1952,Female,White,Democrat,2,1,3,8,5,72,66,80,1
California,1945,Male,White,Independent,4,1,3,11,5,41,50,50,5
Ohio,1968,Female,White,Republican,4,2,1,7,3,76,34,67,4
NA,1978,Female,White,Democrat,2,1,3,8,5,100,99,100,3
Nebraska,1933,Male,White,Independent,3,1,3,3,1,51,51,50,5
Florida,1981,Male,White,Independent,3,1,1,14,5,100,100,100,4
District of Columbia,1949,Male,White,Independent,3,1,3,NA,5,90,100,81,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,77,54,NA
Missouri,1965,Female,White,Democrat,2,2,3,8,5,80,60,46,2
Iowa,1965,Male,White,Other,4,1,4,11,5,80,80,80,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,50,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,95,96,NA
New York,1954,Male,White,Independent,3,1,2,6,5,70,78,70,1
NA,1984,Female,White,Republican,4,2,2,8,3,49,69,98,5
Pennsylvania,1968,Male,White,Republican,4,1,1,10,5,2,1,94,5
Mississippi,1955,Male,White,Republican,4,1,3,10,5,90,90,90,5
Michigan,1948,Male,White,Democrat,3,1,1,6,4,62,75,90,2
NA,1951,Male,Hispanic,Independent,3,1,2,12,6,90,90,50,3
Ohio,1964,Male,White,Democrat,2,1,4,6,5,50,50,91,2
Utah,1958,Male,White,Democrat,2,1,3,9,3,81,80,81,2
NA,1990,Female,White,Independent,1,3,4,3,3,50,50,50,1
Illinois,1960,Female,White,Democrat,1,2,1,10,5,90,77,68,2
Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,82,77,NA
California,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,79,84,NA
New York,1947,Male,White,Democrat,3,1,2,9,6,50,50,50,5
Kentucky,1943,Male,White,Republican,4,1,2,7,2,100,100,100,5
New York,1949,Male,White,Independent,3,1,3,7,5,89,99,90,3
Not Asked,1938,Female,White,Democrat,3,1,4,2,3,50,50,50,1
Maryland,1958,Male,White,Democrat,3,1,1,4,6,94,96,97,2
Wisconsin,1954,Male,White,Republican,4,1,1,8,6,50,51,50,5
Texas,1957,Male,Hispanic,Democrat,2,1,1,4,4,100,100,100,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,69,66,NA
Indiana,1947,Female,White,Other,1,1,4,7,3,85,80,83,2
NA,1955,Male,White,Independent,1,1,4,11,5,91,98,81,1
Missouri,1946,Male,White,Democrat,3,1,2,9,3,85,90,90,3
Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,91,NA
Illinois,1957,Male,White,Independent,NA,2,1,8,3,90,90,90,5
Missouri,1944,Female,White,Independent,3,1,1,9,6,79,0,90,3
California,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,75,75,NA
Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,94,91,NA
New York,1979,Male,White,Democrat,2,1,4,12,6,50,50,50,1
Virginia,1960,Female,White,Democrat,2,1,4,2,3,100,82,100,2
NA,1964,Male,White,Independent,3,1,4,14,5,51,53,52,4
Missouri,1947,Male,White,Democrat,2,1,4,8,6,94,96,90,1
Not Asked,1951,Male,White,Independent,3,2,4,4,3,70,70,70,2
Minnesota,1940,Female,White,Democrat,1,1,1,3,6,88,91,88,3
Alabama,1950,Female,White,Republican,4,1,1,8,5,64,47,88,5
NA,1946,Male,White,Independent,3,1,2,NA,6,89,91,70,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99,99,NA
Illinois,1953,Male,White,Independent,4,1,1,9,4,80,79,89,5
Oregon,1966,Female,White,Independent,5,2,1,4,2,80,62,76,5
Illinois,1948,Male,White,Republican,4,1,2,12,6,48,52,83,5
NA,1948,Male,White,Democrat,2,1,4,9,3,91,92,99,1
District of Columbia,1983,Female,White,Democrat,1,1,4,8,5,54,52,100,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,47,47,NA
Illinois,1959,Female,White,Democrat,1,1,2,11,6,90,90,90,2
Texas,1963,Male,White,Republican,5,1,1,10,5,100,100,100,5
Not Asked,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,81,81,NA
West Virginia,1957,Female,White,Independent,3,1,4,NA,2,77,56,88,4
Florida,1951,Male,Other,Republican,4,1,1,7,4,50,6,95,4
Florida,1945,Female,White,Democrat,3,1,2,11,6,93,92,90,2
NA,1945,Male,Black,Democrat,2,1,3,8,5,97,99,99,3
New Hampshire,1942,Female,White,Independent,3,1,2,9,6,89,92,91,3
Illinois,1948,Female,White,Republican,4,1,1,NA,6,59,70,70,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,91,92,NA
NA,1940,Male,White,Republican,4,1,2,7,6,69,68,81,5
Nebraska,1950,Male,White,Independent,3,1,1,10,5,94,95,93,5
NA,1948,Male,White,Democrat,2,1,3,3,4,70,71,80,1
California,1982,Male,Asian,Democrat,1,1,4,13,6,100,100,100,1
Georgia,1968,Male,White,Independent,4,1,4,6,5,81,0,87,5
Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,27,51,NA
NA,1931,Female,White,Republican,4,1,1,2,2,69,53,50,3
Kansas,1954,Female,White,Democrat,1,1,4,4,3,95,95,95,1
Texas,1957,Male,White,Independent,3,1,1,10,6,50,81,80,5
NA,1963,Male,White,Republican,4,1,1,NA,5,26,85,98,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,80,NA
New York,1931,Male,White,Republican,4,2,4,4,1,73,54,51,5
Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,NA
Florida,1965,Male,White,Independent,3,1,4,6,4,50,50,50,5
Idaho,1954,Male,White,Republican,5,1,1,8,4,60,45,40,5
NA,1953,Male,White,Democrat,3,1,4,5,4,100,97,99,1
NA,1945,Female,White,Republican,5,1,1,7,6,82,64,89,3
Pennsylvania,1976,Male,White,Democrat,2,2,4,9,4,46,64,95,2
Ohio,1964,Male,White,Republican,3,1,3,6,3,49,28,89,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,65,94,NA
NA,1957,Male,White,Democrat,2,1,4,9,2,76,74,88,2
California,1942,Male,White,Republican,5,1,2,8,6,50,50,80,5
Arkansas,1957,Male,White,Republican,4,1,1,NA,1,75,35,45,2
Arkansas,1932,Female,White,Republican,4,1,1,5,3,71,91,100,5
Illinois,1972,Male,White,Republican,4,1,4,4,5,29,33,56,2
NA,1975,Male,White,Independent,3,1,4,13,5,85,50,81,2
Minnesota,1950,Male,White,Republican,4,1,2,5,2,80,70,80,4
Iowa,1960,Male,White,Other,5,1,1,3,2,51,49,51,4
Not Asked,1956,Male,White,Independent,3,1,4,12,2,52,50,59,3
New Mexico,1973,Male,Hispanic,Other,5,1,4,9,5,48,49,60,5
New York,1970,Male,White,Republican,5,1,2,NA,5,50,50,50,5
NA,1963,Male,White,Republican,4,1,1,5,6,59,79,99,5
Michigan,1970,Male,Hispanic,Other,3,1,3,8,2,50,85,84,4
New York,1942,Male,White,Democrat,1,1,4,3,2,70,70,70,2
Illinois,1954,Female,White,Democrat,2,1,4,9,5,97,90,100,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,NA
NA,1957,Female,Black,Independent,3,1,2,14,6,95,95,95,3
New Jersey,1968,Female,White,Democrat,2,1,2,11,4,92,93,91,2
California,1945,Female,White,Republican,5,1,1,9,5,39,49,94,5
Texas,1948,Female,White,Republican,4,1,1,4,5,99,90,87,4
Georgia,1943,Female,Black,Democrat,1,3,1,4,3,98,89,84,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,94,97,NA
Illinois,1946,Male,White,Republican,4,1,4,10,2,79,91,51,5
NA,1944,Female,White,Republican,5,1,1,6,3,98,82,95,5
NA,1954,Male,White,Independent,2,1,4,NA,3,75,75,76,1
Florida,1955,Male,Black,Democrat,2,1,3,4,5,86,86,85,2
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,99,NA
Kansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,51,51,NA
Pennsylvania,1957,Male,White,Democrat,2,1,4,8,3,100,100,100,3
Missouri,1940,Female,White,Republican,2,1,2,4,5,79,75,88,3
Illinois,1942,Male,White,Democrat,2,1,3,10,5,88,90,89,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,97,97,NA
NA,1953,Female,White,Democrat,2,1,4,NA,3,57,59,59,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,67,68,NA
NA,1940,Male,White,Republican,4,1,2,6,3,90,89,93,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,NA
Ohio,1956,Male,White,Democrat,3,1,4,12,5,99,99,100,1
Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,90,100,NA
Missouri,1955,Male,Other,Independent,3,1,1,NA,5,51,50,NA,5
NA,1970,Male,White,Independent,3,1,3,10,5,39,47,63,3
Indiana,1943,Male,White,Democrat,3,1,3,3,2,51,47,47,4
New York,1942,Male,White,Democrat,3,1,2,12,5,65,81,65,2
NA,1968,Male,White,Democrat,3,1,1,5,5,90,80,85,2
Maryland,1938,Female,White,Democrat,2,2,4,4,3,80,80,81,3
NA,1949,Female,White,Democrat,1,1,4,8,5,98,98,99,2
Massachusetts,1988,Female,White,Democrat,1,1,4,15,6,50,49,53,1
Pennsylvania,1936,Female,White,Democrat,2,1,2,7,2,51,50,100,3
Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,51,NA
Wyoming,1973,Female,White,Democrat,3,2,1,7,3,95,93,100,3
Tennessee,1941,Male,White,Independent,2,1,4,14,5,85,80,90,2
Maryland,1955,Male,White,Independent,4,1,4,11,6,34,84,68,5
New York,1970,Male,White,Republican,3,1,2,12,6,50,50,50,5
Maryland,1963,Female,White,Democrat,2,1,2,7,5,64,64,80,2
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,90,99,NA
Oklahoma,1956,Female,White,Republican,4,1,1,5,2,99,100,100,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,52,91,NA
NA,1983,Female,Hispanic,Independent,NA,2,4,6,6,91,88,81,2
Pennsylvania,1948,Female,White,Democrat,2,2,4,7,2,70,62,82,1
Rhode Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,79,87,NA
Washington,1948,Female,White,Democrat,3,3,3,4,2,82,80,81,1
Not Asked,1940,Female,Middle Eastern,Democrat,NA,2,1,3,4,62,81,51,3
Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,NA
West Virginia,1938,Male,White,Democrat,3,1,2,4,5,75,91,NA,2
Georgia,1965,Female,White,Republican,5,1,2,NA,5,81,60,60,5
NA,1930,Female,White,Republican,5,1,1,NA,3,76,48,NA,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,78,50,NA
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,69,80,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,79,100,NA
Kansas,1953,Male,White,Republican,4,3,2,10,6,74,89,81,4
Kentucky,1957,Female,White,Republican,5,1,2,4,2,100,96,100,5
Utah,1971,Female,White,Independent,3,1,1,NA,4,96,85,81,5
Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,100,90,NA
New York,1958,Female,White,Republican,4,1,1,8,4,49,99,100,5
Indiana,1950,Female,White,Republican,4,2,3,4,3,25,22,34,5
North Carolina,1952,Male,White,Independent,3,1,2,5,3,61,63,66,3
NA,1956,Female,White,Democrat,5,4,2,5,2,70,70,70,2
Texas,1983,Female,White,Republican,4,3,1,3,2,38,NA,NA,3
California,1949,Male,White,Democrat,3,1,3,5,2,75,78,80,3
California,1981,Female,Hispanic,Democrat,2,3,2,1,5,50,50,50,2
NA,1958,Female,White,Democrat,2,1,2,14,5,81,71,92,3
Minnesota,1943,Female,White,Democrat,3,3,1,6,2,15,8,26,3
Oklahoma,1967,Female,White,Independent,NA,NA,1,4,3,69,74,84,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,51,50,NA
New Jersey,1957,Female,Other,Republican,5,1,1,4,3,51,50,90,5
Florida,1949,Female,White,Republican,3,1,2,NA,2,85,83,86,5
Ohio,1945,Female,White,Independent,3,2,2,5,3,90,86,89,3
Ohio,1944,Male,White,Republican,3,1,3,6,2,71,71,70,1
NA,1973,Female,Native American,Independent,3,2,3,7,3,10,27,37,4
Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,99,NA
Illinois,1948,Male,White,Independent,4,2,3,7,2,41,41,69,3
New York,1972,Female,Black,Democrat,2,1,2,13,6,90,90,90,2
New Jersey,1943,Female,White,Republican,4,1,2,NA,2,51,31,61,3
South Dakota,1965,Female,White,Republican,5,1,1,9,2,50,50,50,5
NA,1951,Female,White,Republican,4,1,2,3,2,71,67,78,3
New York,1949,Male,White,Independent,3,1,4,5,6,69,82,90,5
Indiana,1959,Female,White,Republican,4,3,1,3,2,78,44,51,3
Connecticut,1957,Female,White,Democrat,NA,2,4,2,1,100,7,53,1
Illinois,1958,Female,White,Republican,5,1,1,9,2,60,35,90,3
Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,41,70,NA
NA,1974,Female,White,Democrat,3,4,2,10,6,51,63,77,3
South Dakota,1964,Female,White,Democrat,2,2,4,1,5,56,82,41,3
NA,1953,Female,White,Democrat,3,2,2,5,2,48,45,48,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,51,47,NA
New York,1948,Female,Hispanic,Republican,3,1,2,7,5,71,83,88,5
Louisiana,1958,Male,Black,Democrat,3,1,1,4,3,100,74,82,1
NA,1966,Female,White,Independent,4,2,3,5,3,79,81,75,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,100,92,NA
South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,75,70,NA
Indiana,1956,Female,White,Republican,4,1,1,7,2,75,76,79,5
Arkansas,1945,Male,Black,Independent,4,1,1,4,5,97,78,63,5
Skipped,1962,Female,White,Republican,5,2,1,7,5,90,90,91,5
Georgia,1960,Female,Black,Democrat,3,1,1,NA,5,100,98,83,3
Maryland,1949,Female,White,Republican,5,1,1,7,6,51,50,89,5
Michigan,1959,Female,White,Republican,3,3,3,4,2,64,55,55,2
California,1962,Female,Black,Democrat,2,1,1,8,4,95,50,84,1
California,1958,Female,Black,Democrat,3,3,1,4,4,80,60,70,3
New York,1948,Female,White,Democrat,3,1,1,4,2,86,80,91,4
Illinois,1952,Female,White,Independent,3,2,1,5,6,96,92,90,2
South Carolina,1957,Female,Black,Democrat,3,1,3,8,3,81,53,55,4
New York,1964,Male,White,Independent,4,4,4,8,2,25,44,51,5
NA,1978,Female,Hispanic,Republican,5,2,1,6,4,97,100,96,3
Wisconsin,1975,Female,White,Democrat,3,2,1,8,6,100,99,100,2
Pennsylvania,1964,Male,Black,Democrat,3,1,1,9,2,75,98,72,3
NA,1962,Female,White,Other,2,1,4,NA,5,95,95,95,2
Skipped,1949,Female,White,Independent,3,2,4,3,4,73,45,87,3
Louisiana,1955,Male,White,Independent,3,2,2,9,2,63,71,81,5
NA,1966,Female,Black,Democrat,5,2,1,7,3,74,24,20,3
Not Asked,1938,Female,Asian,Independent,NA,4,3,NA,2,80,80,91,3
New York,1992,Female,Mixed,Democrat,1,3,4,7,5,91,74,67,2
California,1945,Female,White,Republican,3,1,4,10,5,30,77,47,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,NA
Maine,1957,Female,White,Democrat,4,3,2,3,2,57,50,41,1
New Jersey,1965,Female,Black,Democrat,3,2,1,3,2,96,75,60,1
New York,1955,Female,White,Democrat,3,2,1,4,2,57,52,50,2
NA,1970,Female,White,Republican,NA,NA,1,1,2,4,NA,NA,3
Ohio,1964,Male,White,Republican,5,1,1,6,4,77,51,63,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,10,5,NA
Texas,1973,Male,White,Independent,3,2,4,3,2,50,50,50,3
New York,1957,Male,White,Democrat,3,1,2,11,2,51,56,56,4
Vermont,1957,Female,White,Independent,2,1,2,11,5,99,100,84,3
Utah,1971,Female,White,Democrat,1,2,4,3,5,100,100,100,1
Pennsylvania,1939,Male,White,Democrat,3,1,2,4,1,48,40,50,3
Pennsylvania,1942,Female,White,Republican,5,1,1,4,2,90,71,89,5
Wisconsin,1960,Male,White,Independent,3,2,4,10,2,54,61,61,4
Texas,1948,Female,Black,Democrat,3,3,1,4,3,100,NA,NA,3
Kansas,1954,Male,White,Independent,2,2,1,4,5,91,36,25,3
Michigan,1937,Female,White,Democrat,3,2,1,3,2,85,70,85,4
Ohio,1988,Female,White,Independent,4,4,1,6,6,64,68,74,2
Pennsylvania,1969,Male,White,Democrat,3,2,4,7,2,99,15,99,1
Michigan,1968,Female,White,Republican,5,3,1,15,2,52,34,28,5
California,1965,Female,Hispanic,Democrat,2,1,4,5,3,86,94,89,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,50,50,NA
New Jersey,1947,Male,White,Republican,4,1,2,11,2,56,33,56,3
Washington,1967,Female,White,Democrat,3,2,1,4,2,60,76,53,1
Ohio,1966,Female,Black,Democrat,2,1,4,12,5,97,94,92,2
Ohio,1947,Female,White,Republican,NA,2,2,2,1,88,54,60,5
Indiana,1943,Female,White,Republican,4,2,1,2,2,72,49,100,5
Florida,1971,Female,White,Independent,4,3,3,3,2,53,42,62,2
NA,1957,Male,Black,Democrat,3,2,2,6,3,96,79,68,3
NA,1936,Male,White,Republican,4,1,2,3,2,31,30,73,4
Iowa,1953,Female,White,Republican,4,2,1,8,2,45,48,49,5
Kentucky,1960,Male,Black,Independent,5,1,1,2,5,89,87,86,5
Colorado,1943,Female,White,Independent,4,1,1,4,2,86,87,88,1
South Dakota,1960,Female,White,Democrat,4,2,3,2,2,53,48,52,3
NA,1956,Male,White,Independent,2,1,4,12,6,75,75,75,4
Ohio,1941,Female,White,Republican,4,4,2,3,2,56,49,61,5
NA,1972,Male,White,Republican,3,1,2,7,5,52,53,63,3
North Carolina,1942,Female,White,Republican,4,2,1,5,2,69,53,50,3
Pennsylvania,1950,Female,White,Independent,3,2,3,NA,2,80,80,73,3
California,1962,Female,Black,Independent,3,1,1,NA,5,81,81,87,2
New York,1963,Female,White,Republican,5,4,1,6,2,100,100,100,3
Pennsylvania,1946,Female,White,Democrat,3,2,1,8,2,75,75,72,1
NA,1962,Female,White,Democrat,3,3,1,3,2,60,61,71,2
South Carolina,1962,Female,Black,Democrat,4,2,1,4,4,100,94,89,1
Michigan,1950,Female,Hispanic,Democrat,2,2,1,4,2,99,100,99,1
Illinois,1956,Male,White,Republican,4,1,4,6,1,25,5,20,5
Oklahoma,1988,Female,Mixed,Democrat,2,1,4,5,5,71,69,84,2
Hawaii,1982,Female,Asian,Democrat,3,2,3,4,3,79,90,81,1
Minnesota,1966,Male,White,Independent,3,2,2,8,2,34,47,59,4
Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,48,44,NA
Ohio,1949,Female,White,Independent,4,3,2,7,4,80,29,80,5
Massachusetts,1968,Female,White,Independent,3,1,1,7,2,100,88,86,3
Washington,1960,Female,White,Independent,3,2,2,7,3,66,65,64,4
Connecticut,1948,Female,White,Democrat,2,1,1,3,2,45,84,91,4
NA,1978,Female,White,Independent,2,4,4,1,2,50,50,50,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,91,91,NA
South Dakota,1971,Female,White,Independent,3,3,1,6,2,72,0,1,3
Alabama,1957,Female,White,Republican,4,1,1,11,6,66,NA,76,5
Pennsylvania,1943,Female,White,Republican,3,2,4,NA,2,92,79,80,5
Oregon,1959,Female,White,Republican,4,4,1,4,2,50,50,50,5
NA,1960,Male,White,Democrat,2,1,4,NA,3,77,76,51,2
NA,1977,Female,Hispanic,Independent,5,1,2,3,3,50,100,50,5
Texas,1961,Male,Hispanic,Democrat,3,3,1,8,1,55,92,56,2
California,1962,Female,Mixed,Independent,3,3,2,5,3,80,83,100,2
Maryland,1962,Female,White,Independent,3,2,2,12,6,41,93,92,4
NA,1961,Female,White,Democrat,2,1,3,7,4,50,88,51,3
Pennsylvania,1951,Male,White,Democrat,3,3,1,4,2,50,7,29,5
Colorado,1954,Male,White,Democrat,2,1,2,9,2,95,75,90,3
New Hampshire,1939,Female,White,Democrat,4,2,3,6,2,66,80,81,4
Alabama,1977,Male,White,Not sure,3,1,1,12,6,70,59,75,5
Ohio,1964,Male,Hispanic,Independent,3,2,4,11,6,80,96,90,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,84,82,NA
Ohio,1957,Male,White,Independent,3,2,3,5,2,40,51,47,5
New York,1937,Female,White,Republican,3,1,4,6,2,25,41,81,5
West Virginia,1945,Male,White,Democrat,2,1,2,6,5,68,69,63,3
Louisiana,1957,Female,Black,Democrat,3,2,1,6,3,99,68,56,3
New York,1949,Female,White,Independent,3,2,1,4,2,64,63,63,2
Illinois,1956,Female,White,Republican,3,3,1,7,2,100,26,100,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,62,NA
New York,1963,Female,White,Independent,3,3,4,1,3,99,98,99,5
Minnesota,1948,Female,White,Democrat,3,1,1,3,2,88,88,90,2
