state,birth_year,sex,immi_naturalize_2016,gaymar_2016,deathpen_2016,univhealthcov_2016,envwarm_2016,taxdoug_2016,amshamed_2016,gunown_2016
Louisiana,1959,Female,NA,0,NA,0,5,1,2,1
Maryland,1951,Female,NA,0,1,0,3,3,1,NA
Ohio,1960,Female,0,1,1,1,1,1,2,0
California,1942,Male,0,0,1,0,3,1,1,NA
California,1955,Male,0,1,1,0,4,2,3,0
California,1948,Male,1,0,1,0,3,2,NA,0
Illinois,1953,Female,NA,0,1,NA,3,3,4,1
Ohio,1956,Female,1,NA,1,1,3,1,3,0
North Dakota,1961,Female,0,0,0,0,5,3,NA,0
Ohio,1974,Female,1,1,0,1,1,1,1,0
Michigan,1977,Female,0,NA,NA,0,4,1,3,0
Louisiana,1958,Female,NA,NA,NA,NA,1,3,2,1
Connecticut,1961,Female,1,1,0,1,1,1,2,0
Not Asked,1942,Female,1,1,0,1,2,2,3,0
New York,1962,Female,1,NA,NA,1,1,1,2,0
Pennsylvania,1963,Female,1,1,1,1,5,1,1,1
New Jersey,1933,Female,1,1,0,NA,1,1,1,1
Maryland,1969,Male,0,0,1,0,2,1,1,0
New York,1953,Female,0,0,1,0,2,2,1,1
Indiana,1961,Female,0,0,1,0,2,3,3,1
Ohio,1955,Female,NA,0,1,0,4,2,4,1
Iowa,1951,Female,0,1,1,0,1,1,2,1
Illinois,1950,Female,1,NA,1,0,5,1,3,0
Idaho,1981,Female,NA,1,1,NA,1,1,2,1
Tennessee,1976,Female,NA,NA,1,NA,5,2,NA,0
Wisconsin,1950,Female,1,1,0,1,1,1,3,1
Pennsylvania,1944,Male,1,0,1,0,2,1,4,0
Florida,1977,Female,1,1,NA,1,1,1,1,0
Michigan,1959,Female,1,1,1,0,2,1,2,1
Pennsylvania,1930,Female,0,0,0,NA,5,3,NA,0
New Mexico,1956,Female,0,NA,1,0,3,3,4,NA
Missouri,1958,Male,0,0,1,0,4,1,2,0
Indiana,1949,Female,0,1,1,1,1,1,4,0
North Carolina,1946,Female,NA,0,NA,0,3,2,4,0
Idaho,1958,Male,1,0,1,0,4,2,3,1
Michigan,1960,Male,NA,0,1,0,4,1,1,1
North Carolina,1975,Female,1,1,1,1,1,1,1,0
Ohio,1974,Female,0,0,1,0,2,1,2,1
Utah,1981,Female,1,1,1,1,2,1,2,0
Illinois,1965,Male,1,1,NA,1,1,1,2,1
Kansas,1958,Female,1,0,0,0,1,1,1,0
Virginia,1976,Female,1,NA,NA,1,1,1,2,1
Virginia,1951,Female,1,0,1,1,2,1,1,0
Not Asked,1972,Male,NA,0,NA,0,5,3,3,NA
Indiana,1942,Female,1,0,1,0,2,3,2,1
New Jersey,1963,Male,1,1,1,1,1,1,3,0
New Jersey,1975,Female,1,1,1,0,2,1,2,1
Florida,1962,Female,0,1,1,0,1,1,2,0
Indiana,1979,Female,1,1,0,1,1,1,1,0
South Dakota,1953,Female,0,0,1,1,1,1,1,0
Minnesota,1946,Male,0,0,1,0,4,2,3,0
Florida,1964,Female,0,0,1,1,3,2,4,0
Michigan,1956,Female,NA,0,1,0,4,1,2,NA
Virginia,1970,Female,0,0,1,0,4,3,2,1
Ohio,1964,Female,0,1,1,NA,3,1,4,0
Pennsylvania,1940,Female,1,0,0,0,3,1,2,0
Louisiana,1957,Female,0,0,NA,1,1,1,1,0
Indiana,1964,Female,0,0,1,0,3,1,2,1
Illinois,1962,Male,0,0,1,0,3,3,1,0
Kansas,1969,Male,0,1,1,0,4,1,2,1
California,1969,Female,1,1,1,1,1,1,1,1
South Carolina,1987,Female,1,1,1,NA,1,1,2,0
Ohio,1951,Male,1,0,1,0,2,1,4,1
Louisiana,1950,Female,1,1,NA,NA,2,1,2,0
Maryland,1971,Female,NA,0,1,0,2,3,1,NA
Not Asked,1972,Male,1,NA,NA,NA,5,3,2,1
Minnesota,1946,Female,0,0,1,0,5,1,1,1
Massachusetts,1971,Male,0,1,1,1,1,1,2,0
Ohio,1950,Female,1,1,0,1,1,3,2,0
California,1969,Female,1,NA,0,1,1,2,2,0
Pennsylvania,1952,Female,1,1,0,1,1,1,1,0
Idaho,1968,Female,NA,1,1,NA,2,1,2,1
Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,1946,Female,1,NA,0,0,1,1,2,0
Wisconsin,1936,Female,0,1,1,0,4,3,4,0
Kentucky,1969,Male,0,0,1,0,3,3,2,1
Texas,1970,Female,NA,1,NA,1,1,1,2,0
Arizona,1969,Female,1,1,1,1,2,2,2,1
Pennsylvania,1963,Female,1,0,NA,0,2,1,3,0
Wisconsin,1966,Male,0,NA,1,0,2,1,2,0
Kansas,1967,Female,0,1,NA,1,1,1,1,1
Pennsylvania,1975,Male,0,0,1,1,3,1,1,0
Skipped,1968,Female,1,1,0,1,1,1,2,0
Illinois,1970,Female,NA,0,NA,0,4,1,3,0
Virginia,1973,Male,NA,1,NA,0,2,1,2,0
Mississippi,1950,Male,NA,NA,1,NA,4,3,2,1
Arizona,1962,Male,0,0,1,0,5,3,2,NA
California,1969,Female,NA,0,1,0,3,2,4,1
Michigan,1957,Female,1,0,NA,0,2,1,1,0
New Jersey,1956,Male,0,NA,1,0,1,1,1,0
Kansas,1971,Female,0,0,1,0,2,1,2,NA
Missouri,1957,Female,0,0,1,0,4,2,2,0
Texas,1964,Female,0,1,1,NA,4,1,4,0
Ohio,1962,Female,1,1,NA,0,1,1,4,1
Missouri,1988,Male,NA,NA,NA,NA,5,2,2,NA
Florida,1958,Male,0,1,1,0,3,1,2,1
Not Asked,1974,Female,1,1,0,1,1,2,1,0
Illinois,1954,Female,1,1,0,1,1,1,NA,0
Iowa,1942,Female,0,1,NA,1,2,1,2,0
Pennsylvania,1974,Male,1,1,1,1,1,1,2,0
New York,1974,Male,1,1,0,NA,1,3,2,NA
New York,1966,Female,0,1,1,1,1,1,1,1
Arizona,1962,Female,1,1,1,1,2,1,1,NA
Massachusetts,1957,Female,0,0,0,0,1,1,2,0
Not Asked,1965,Female,NA,1,0,0,2,2,4,0
Illinois,1948,Female,1,1,0,NA,1,1,2,0
Delaware,1962,Female,0,1,1,0,2,1,2,NA
Tennessee,1935,Female,NA,NA,1,0,1,1,2,1
Illinois,1949,Female,NA,0,0,1,1,1,2,0
Iowa,1944,Male,NA,NA,1,0,1,3,4,1
Utah,1967,Male,1,0,1,0,5,1,3,0
Wisconsin,1966,Female,1,1,1,1,1,1,1,0
Virginia,1967,Female,1,0,0,1,1,1,1,0
South Carolina,1960,Male,0,1,1,0,3,2,3,0
Michigan,1971,Female,1,1,0,1,1,1,2,0
West Virginia,1975,Female,NA,1,NA,0,4,3,1,1
Texas,1978,Female,1,1,1,1,1,1,1,0
New Jersey,1943,Female,1,1,NA,1,1,1,1,NA
Pennsylvania,1975,Female,1,1,1,NA,2,1,3,0
New York,1953,Male,1,0,1,0,4,2,3,0
Indiana,1951,Female,1,0,0,1,5,1,2,0
California,1961,Female,0,NA,1,0,3,1,2,0
Texas,1963,Female,1,0,0,0,4,2,4,1
Massachusetts,1983,Male,1,1,0,1,1,1,1,0
New York,1971,Male,1,1,1,1,2,2,2,1
Delaware,1977,Female,0,NA,NA,NA,2,1,NA,1
Hawaii,1983,Female,NA,1,1,1,1,1,1,1
Idaho,1961,Male,1,1,0,1,1,1,2,0
Minnesota,1964,Female,1,1,1,1,1,1,2,1
Tennessee,1945,Male,1,1,NA,NA,2,1,1,0
New Jersey,1965,Male,0,0,1,0,4,2,4,1
Maryland,1986,Male,1,1,NA,1,1,1,2,0
West Virginia,1975,Female,1,1,0,1,1,1,2,1
Missouri,1950,Male,1,NA,1,1,2,1,2,0
California,1967,Female,1,1,NA,NA,1,1,1,0
Indiana,1952,Female,1,1,0,1,1,1,1,0
Florida,1963,Male,0,0,1,0,4,2,3,1
Missouri,1953,Female,NA,0,1,NA,2,1,NA,NA
Michigan,1946,Male,1,1,1,1,1,1,2,0
Florida,1960,Female,0,0,1,NA,4,3,1,NA
Not Asked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Not Asked,1972,Female,0,1,NA,NA,1,1,NA,0
New York,1941,Female,1,NA,1,1,3,1,2,0
Illinois,1946,Male,1,0,1,1,1,1,2,1
California,1950,Female,1,1,0,1,1,1,2,1
Texas,1971,Female,1,0,NA,1,5,3,1,NA
Arizona,1966,Male,1,1,1,NA,2,1,2,0
Pennsylvania,1955,Male,0,0,0,1,4,1,3,0
North Carolina,1962,Male,0,0,1,0,4,2,4,NA
Michigan,1962,Female,1,1,1,1,1,3,2,1
New York,1937,Male,1,0,1,0,3,3,4,1
California,1947,Male,1,1,1,1,1,1,1,1
Nebraska,1946,Male,1,1,0,1,1,1,1,1
Washington,1984,Male,1,1,0,1,2,3,2,1
Oregon,1949,Male,0,0,1,0,3,2,4,1
California,1953,Male,1,1,0,1,1,1,1,0
Texas,1971,Male,1,1,1,1,1,1,1,1
Maryland,1956,Male,1,1,0,1,1,1,2,0
California,1934,Male,NA,0,1,0,3,3,4,1
Not Asked,1937,Female,1,NA,NA,0,2,2,4,0
Vermont,1948,Female,0,0,1,0,3,1,2,0
Pennsylvania,1972,Male,0,1,1,0,3,2,3,1
New York,1960,Male,1,1,0,1,2,3,1,1
Kentucky,1967,Male,0,1,1,0,2,2,3,1
Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,1955,Male,1,1,0,1,1,1,2,1
Illinois,1977,Female,0,1,1,0,2,1,2,1
Ohio,1955,Male,0,NA,1,0,3,2,2,1
California,1955,Female,1,1,0,0,2,3,4,0
California,1981,Female,NA,1,NA,0,1,1,3,0
South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,1951,Female,0,1,1,0,3,2,4,NA
Tennessee,1985,Female,NA,0,1,0,4,2,2,0
Oklahoma,1957,Female,0,0,1,0,5,2,1,1
Maryland,1954,Female,1,1,1,0,2,1,1,0
Pennsylvania,1945,Female,1,1,1,1,2,3,2,0
California,1959,Female,1,0,1,0,4,2,3,NA
Massachusetts,1958,Female,0,1,1,0,2,1,2,0
North Carolina,1929,Male,1,NA,0,0,3,3,2,0
California,1952,Female,1,1,1,1,1,1,2,1
Pennsylvania,1936,Female,0,0,1,0,3,2,4,0
New Mexico,1950,Male,0,0,1,0,4,2,3,0
New Jersey,1963,Female,1,0,0,0,2,2,3,1
Illinois,1949,Male,NA,1,0,1,1,1,1,0
Maryland,1958,Female,1,1,0,1,1,1,2,1
California,1940,Female,1,NA,0,1,2,1,3,0
New York,1942,Male,1,1,0,1,2,1,1,0
Washington,1986,Male,1,1,0,1,1,1,1,0
Texas,1945,Female,1,0,1,1,1,1,2,0
Minnesota,1960,Female,1,1,1,0,2,2,3,1
New York,1939,Female,NA,1,1,0,3,2,1,NA
Ohio,1948,Male,NA,NA,NA,0,2,1,2,0
Minnesota,1953,Male,0,0,1,0,4,2,3,0
Indiana,1960,Female,0,NA,1,0,3,1,3,0
New York,1943,Male,1,1,NA,0,2,3,2,0
Maryland,1947,Male,1,1,1,1,1,1,2,0
Ohio,1965,Female,1,1,NA,1,1,2,NA,NA
California,1954,Female,NA,0,1,0,4,1,2,0
Illinois,1937,Male,0,NA,1,0,2,2,4,NA
New York,1940,Male,1,0,0,NA,2,1,3,1
Illinois,1958,Male,NA,NA,NA,NA,5,3,NA,NA
New York,1955,Male,0,NA,1,0,3,2,4,0
New York,1932,Male,0,0,1,0,4,1,2,0
Wyoming,1953,Female,0,NA,1,1,5,3,2,0
California,1953,Female,1,0,1,0,3,1,3,1
Maryland,1965,Male,1,1,1,0,4,3,1,0
Illinois,1963,Male,0,0,1,0,3,2,4,0
Georgia,1934,Female,1,1,1,1,1,1,2,1
Missouri,1961,Male,0,0,1,0,3,2,3,1
Texas,1967,Female,1,1,NA,1,1,1,2,1
California,1947,Male,1,1,1,1,1,1,1,1
New York,1951,Male,0,0,1,0,4,2,2,1
New Jersey,1954,Female,0,0,NA,0,2,3,3,1
California,1961,Female,1,1,0,1,1,1,1,0
Skipped,1958,Female,NA,1,1,1,1,1,2,NA
California,1952,Male,0,NA,1,0,4,2,3,1
Virginia,1977,Male,1,1,NA,1,1,1,1,0
Colorado,1944,Female,1,0,0,0,1,2,4,NA
South Dakota,1957,Female,0,1,NA,1,1,1,1,0
California,1932,Female,NA,NA,0,1,1,1,1,1
California,1954,Female,0,1,0,0,2,1,2,1
New Hampshire,1978,Male,0,NA,NA,0,3,2,4,NA
Connecticut,9998,Female,1,1,1,1,1,3,2,0
New York,1949,Female,0,0,1,0,4,2,2,NA
California,1961,Male,0,0,1,0,4,2,4,1
California,1954,Female,0,0,1,0,1,2,2,1
Arkansas,1948,Female,1,NA,NA,NA,4,1,1,1
Massachusetts,1954,Male,0,1,1,0,2,2,4,1
Florida,1959,Male,0,0,1,0,2,1,2,1
Pennsylvania,1956,Female,1,1,1,1,2,1,2,1
Illinois,1940,Female,1,1,0,1,1,1,2,0
Ohio,1957,Female,0,0,NA,1,1,1,2,0
Michigan,1940,Female,1,1,1,1,1,1,1,0
California,1962,Female,1,1,0,1,1,1,2,1
New Jersey,1961,Female,1,0,NA,NA,2,1,2,0
Florida,1958,Male,0,0,1,0,4,2,3,1
Alabama,1969,Female,1,0,1,1,1,1,1,0
Ohio,1959,Female,1,NA,0,1,1,1,3,0
Indiana,1965,Male,0,1,0,1,2,1,2,0
Connecticut,1953,Male,1,1,1,1,1,1,3,1
Indiana,1951,Female,0,0,1,0,5,1,2,1
Not Asked,1968,Male,NA,NA,NA,NA,8,8,NA,NA
Indiana,1959,Female,1,1,1,0,2,2,1,1
Massachusetts,1948,Female,1,1,1,1,1,1,1,1
Missouri,1964,Female,0,1,NA,NA,1,1,1,0
Maryland,1945,Male,1,1,0,1,1,1,2,0
Missouri,1970,Female,0,1,1,1,3,1,2,1
Michigan,1943,Male,0,1,1,1,2,1,2,1
Massachusetts,1957,Female,1,1,1,1,1,1,2,0
Pennsylvania,1979,Female,0,1,1,0,2,1,2,0
Louisiana,1950,Female,1,1,1,0,2,1,2,1
Vermont,1961,Female,0,NA,1,0,4,3,NA,1
Illinois,1958,Male,1,1,0,1,1,1,1,0
Pennsylvania,1962,Male,0,0,1,0,2,2,4,1
New York,1956,Male,1,1,0,1,1,1,1,0
Tennessee,1960,Male,0,0,1,0,2,3,2,NA
Illinois,1977,Male,1,1,0,1,1,1,1,0
New York,1963,Female,1,1,NA,1,2,3,2,0
Georgia,1947,Female,1,1,0,1,1,1,2,0
New Hampshire,1962,Female,NA,NA,1,NA,5,1,2,0
Iowa,1946,Male,0,0,1,0,2,1,2,1
Arkansas,1956,Male,0,NA,1,0,4,2,3,1
California,1972,Female,1,0,NA,NA,2,3,3,0
Iowa,1956,Male,0,0,1,0,4,2,1,1
New York,1957,Female,1,0,1,1,2,1,2,0
New York,1954,Male,1,0,1,0,1,1,4,1
Texas,1946,Female,1,0,1,1,5,1,2,0
Arkansas,1940,Female,0,0,1,NA,1,1,3,1
Pennsylvania,1958,Male,0,0,1,0,3,2,2,NA
New York,1965,Female,0,1,1,0,1,1,3,1
Not Asked,1954,Female,1,1,1,1,1,1,4,0
Michigan,1948,Female,1,1,1,1,5,1,1,0
Kentucky,1958,Female,1,0,NA,0,2,1,2,1
Illinois,1961,Female,1,1,NA,NA,2,3,NA,1
New Jersey,1943,Female,0,1,0,1,2,3,3,0
New York,1957,Male,0,1,0,1,1,2,1,0
Maryland,1961,Female,NA,NA,1,0,2,2,2,0
Georgia,1957,Female,0,0,1,0,5,1,2,0
Nebraska,1955,Female,1,0,0,1,3,1,2,1
Virginia,1961,Female,1,1,1,1,1,1,2,1
Michigan,1964,Female,NA,1,1,0,2,2,2,0
Oregon,1943,Male,0,0,1,0,3,3,NA,1
Ohio,1946,Female,NA,NA,1,0,1,1,1,1
Arizona,1946,Female,0,0,1,0,3,1,2,0
Ohio,1941,Female,0,0,1,0,2,1,2,0
New York,1950,Male,NA,0,1,0,3,2,3,1
Pennsylvania,1960,Female,1,1,1,0,1,1,2,0
Florida,1950,Male,1,0,1,0,4,1,2,1
Virginia,1956,Female,0,1,1,0,2,1,2,0
Washington,1955,Male,0,0,1,0,3,1,1,NA
Ohio,1968,Female,NA,1,1,0,5,1,2,NA
Oklahoma,1954,Female,1,1,NA,1,5,1,1,0
Iowa,1954,Male,0,0,1,0,1,1,3,0
Virginia,1964,Male,0,1,0,0,4,2,4,0
Pennsylvania,1971,Female,NA,0,1,0,1,1,2,0
Maryland,1949,Male,1,1,1,1,1,1,1,0
Pennsylvania,1949,Male,1,1,0,1,2,1,2,0
Washington,1959,Female,0,1,1,0,1,1,2,0
Not Asked,1954,Male,1,0,NA,1,1,1,1,0
Arkansas,1946,Female,1,0,1,0,2,2,4,NA
Colorado,1943,Female,1,1,0,1,1,3,2,0
Michigan,1939,Female,1,1,1,1,1,1,1,0
Arkansas,1955,Female,1,0,1,1,2,1,1,0
Illinois,1980,Female,1,1,0,NA,1,1,1,0
Florida,1961,Male,NA,0,1,0,3,2,2,0
West Virginia,1972,Male,1,1,NA,1,1,1,NA,1
Minnesota,1965,Female,0,1,NA,0,4,2,3,0
Maryland,1962,Female,0,1,1,0,1,3,2,0
California,1952,Male,0,0,1,1,2,2,2,0
New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,1927,Female,1,1,NA,NA,1,1,2,0
California,1953,Female,0,1,1,1,2,1,1,1
South Carolina,1979,Male,1,0,0,0,1,2,2,1
West Virginia,1968,Male,1,0,0,1,1,3,2,NA
Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,1954,Female,1,0,1,0,1,2,2,0
New York,1952,Male,1,1,1,0,2,1,2,0
Texas,1963,Male,NA,NA,1,0,3,3,4,0
Delaware,1945,Female,1,1,1,0,4,1,1,0
Arizona,1958,Female,1,0,NA,NA,2,3,2,1
New York,1978,Female,1,1,1,1,1,1,1,1
Illinois,1946,Female,1,NA,1,NA,2,1,2,0
Massachusetts,1947,Female,1,1,NA,1,1,1,2,0
Florida,1957,Female,1,1,1,1,1,1,3,0
Texas,1961,Female,1,1,NA,0,1,2,NA,0
Florida,1959,Male,0,0,0,1,1,1,1,0
Texas,1955,Male,1,1,1,NA,3,1,NA,0
New York,1958,Male,NA,NA,1,1,2,1,3,1
Texas,1964,Female,NA,0,1,1,2,2,2,1
New Jersey,1970,Female,1,1,1,1,1,1,NA,0
Michigan,1969,Female,1,1,1,1,1,1,2,1
New York,1950,Male,0,NA,1,0,2,1,2,0
Texas,1980,Male,1,1,0,1,1,1,1,0
Texas,1953,Female,NA,1,1,0,3,2,2,1
New Jersey,1959,Female,NA,1,1,0,3,2,2,1
Florida,1971,Male,1,1,0,1,1,1,1,0
Pennsylvania,1954,Female,1,1,NA,1,1,1,NA,0
California,1989,Female,1,0,1,0,3,2,2,1
New Jersey,1955,Male,1,0,1,NA,1,8,NA,0
Ohio,1969,Female,0,1,1,0,3,1,4,0
Texas,1967,Female,NA,0,1,0,3,1,2,1
New York,1962,Male,NA,NA,NA,NA,5,3,NA,0
New Jersey,1952,Female,1,1,0,1,1,1,1,0
Kansas,1974,Female,1,1,NA,1,1,1,1,0
Michigan,1960,Female,1,1,NA,1,1,1,2,0
New York,1949,Female,NA,NA,0,0,3,2,3,0
Texas,1965,Male,1,0,0,0,3,3,2,0
Pennsylvania,1950,Male,0,1,1,0,4,2,3,0
Texas,1959,Female,0,0,1,0,3,3,2,1
Texas,1967,Female,0,1,1,0,2,1,4,1
Pennsylvania,1953,Male,0,NA,1,0,4,2,3,0
Florida,1967,Female,0,1,1,1,4,1,1,0
California,1962,Female,1,1,1,1,5,1,2,0
Ohio,1944,Male,0,0,1,0,3,2,4,NA
Texas,1976,Female,0,0,NA,0,4,2,2,0
California,1958,Female,1,1,1,0,1,3,3,0
Nebraska,1960,Male,0,0,1,0,3,1,2,0
Not Asked,1959,Male,NA,0,1,0,2,2,1,1
New York,1945,Male,0,0,0,0,3,2,3,1
Connecticut,1955,Female,1,1,1,1,1,1,1,0
New York,1952,Female,NA,1,NA,1,1,1,3,0
North Carolina,1950,Female,1,0,NA,0,2,2,3,1
Ohio,1976,Female,0,1,1,1,2,1,1,1
West Virginia,1944,Female,1,0,0,0,2,1,3,0
North Carolina,1954,Female,0,0,1,0,4,2,4,1
Pennsylvania,1988,Male,0,1,1,1,1,1,1,0
Pennsylvania,1950,Female,1,0,0,1,1,1,1,0
Connecticut,1981,Female,1,1,0,1,1,1,1,0
New York,1932,Male,NA,NA,1,0,5,3,3,0
Michigan,1972,Female,1,1,1,0,2,1,NA,1
New York,1947,Female,1,1,NA,1,1,1,1,1
Indiana,1950,Female,1,1,1,1,1,1,1,1
Indiana,1971,Male,1,1,NA,0,3,1,2,1
New York,1988,Female,1,1,0,1,1,1,2,0
Pennsylvania,1966,Male,1,1,1,1,1,1,2,1
New York,1933,Female,1,0,NA,0,2,3,3,0
Missouri,1957,Male,1,0,1,NA,2,1,2,0
Kentucky,1968,Female,NA,1,1,1,2,1,2,NA
Pennsylvania,1971,Female,1,1,1,1,1,1,2,1
New York,1964,Female,0,NA,1,0,5,3,2,0
Ohio,1939,Female,0,NA,1,1,2,1,1,0
Illinois,1949,Male,1,NA,1,NA,1,1,2,0
California,1937,Female,0,0,1,0,3,2,4,1
Not Asked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,1965,Female,1,1,0,1,1,1,2,1
California,1968,Female,0,NA,NA,0,1,1,1,0
Massachusetts,1969,Female,1,1,1,1,1,1,2,0
Ohio,1957,Female,NA,0,1,0,2,3,2,0
Nebraska,1969,Female,1,0,1,0,5,1,3,0
Arkansas,1972,Female,0,NA,NA,1,1,1,3,0
California,1944,Male,1,1,NA,1,2,1,3,1
Iowa,1960,Female,0,0,1,0,1,1,2,0
North Carolina,1970,Female,NA,1,NA,1,5,1,2,0
Iowa,1951,Female,0,0,1,1,1,1,1,0
New Jersey,1960,Female,NA,0,0,1,2,1,2,0
New Jersey,1964,Male,1,1,1,0,1,2,3,1
Virginia,1985,Male,1,1,1,0,1,1,2,0
Pennsylvania,1977,Female,0,1,1,1,1,1,2,0
Louisiana,1976,Female,0,0,NA,0,1,1,1,0
New York,1967,Female,0,NA,1,NA,2,1,3,0
Michigan,1963,Male,1,1,0,1,1,1,1,1
Ohio,1979,Female,NA,1,NA,1,1,1,1,0
Delaware,1961,Female,0,1,1,NA,3,1,2,1
Illinois,1962,Male,0,0,1,0,3,1,3,1
New York,1980,Female,1,0,1,1,1,1,2,0
Minnesota,1953,Male,1,1,1,1,1,1,2,1
Ohio,1954,Female,0,1,0,0,2,2,4,0
Virginia,1943,Male,0,0,1,0,4,3,2,1
New York,1969,Male,1,1,0,1,1,1,2,0
Massachusetts,1955,Male,0,1,1,0,3,2,3,1
Michigan,1936,Female,0,NA,0,0,2,3,1,1
Georgia,1939,Male,1,1,1,1,1,1,3,NA
Florida,1948,Male,0,0,1,0,2,2,4,0
Maryland,1974,Male,0,1,NA,1,1,2,1,0
New York,1966,Male,0,0,1,1,2,1,1,0
Indiana,1949,Male,1,1,0,1,2,1,2,0
Virginia,1973,Male,1,0,1,0,3,2,2,1
North Carolina,1966,Male,1,1,NA,1,5,1,2,0
New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,1973,Male,0,NA,0,0,1,1,2,0
Virginia,1957,Male,1,1,NA,1,1,1,1,0
Alabama,1971,Female,0,0,NA,1,5,1,NA,0
Georgia,1953,Male,0,NA,0,0,4,2,4,NA
Georgia,1941,Male,0,0,1,0,3,1,1,0
Not Asked,9998,Female,NA,1,1,0,4,2,2,NA
New York,1969,Male,0,0,1,1,2,1,2,0
Pennsylvania,1938,Female,1,1,0,1,1,1,1,0
Louisiana,1964,Male,0,0,1,0,2,2,3,0
Virginia,1964,Female,1,0,0,1,2,1,1,1
California,1946,Female,0,0,1,0,4,2,4,NA
California,1952,Male,1,1,0,1,1,1,1,0
Michigan,1945,Female,1,0,1,0,5,1,2,0
New York,1954,Male,0,1,1,0,4,2,3,1
Georgia,1955,Female,NA,NA,0,0,5,2,NA,NA
Michigan,1953,Male,0,0,1,0,1,1,3,1
Not Asked,1958,Male,0,0,1,0,3,1,4,0
Kansas,1947,Male,1,1,1,1,1,1,1,1
Pennsylvania,1953,Female,1,1,NA,1,1,1,2,0
Texas,1956,Female,1,1,0,1,1,1,1,0
Washington,1954,Female,0,NA,1,1,1,1,1,0
New Jersey,1951,Female,NA,NA,1,1,1,1,2,0
New York,1951,Male,NA,0,1,0,3,2,4,0
California,1967,Female,NA,0,1,1,2,1,2,0
Utah,1957,Male,0,0,NA,0,2,1,4,1
Pennsylvania,1955,Female,1,0,NA,1,2,1,1,1
Ohio,1960,Male,1,0,1,1,2,1,1,0
California,1962,Male,1,1,1,NA,2,1,2,1
Ohio,1950,Female,1,0,1,0,3,2,2,1
Hawaii,1967,Male,0,0,1,0,1,1,2,0
Louisiana,1949,Female,NA,NA,0,1,1,3,4,0
Michigan,1945,Female,0,1,1,1,2,1,NA,0
Wisconsin,1969,Female,0,1,0,1,2,3,3,0
New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,1969,Male,1,1,NA,0,2,2,2,0
Illinois,1938,Female,0,0,1,0,2,3,2,0
Indiana,1962,Male,1,0,NA,NA,3,2,NA,NA
Maryland,1978,Female,1,1,0,0,1,1,1,0
Michigan,1969,Male,0,0,0,0,1,1,3,1
Michigan,1987,Female,1,1,0,1,1,1,2,0
Pennsylvania,1956,Male,1,1,1,1,1,1,2,1
New York,1939,Male,0,1,1,0,3,2,3,0
Florida,1972,Female,1,1,0,1,1,1,1,0
Illinois,1963,Female,1,1,0,1,2,1,1,1
Illinois,1960,Female,0,NA,1,0,1,1,2,1
Florida,1958,Female,NA,1,NA,1,1,1,2,0
New York,1949,Female,NA,NA,NA,1,1,3,3,1
Louisiana,1965,Male,1,1,1,0,1,1,1,1
California,1969,Male,1,1,1,1,1,1,2,1
Florida,1963,Female,NA,NA,1,0,1,3,4,1
California,1960,Female,1,1,1,1,1,1,1,0
Pennsylvania,1962,Female,0,NA,0,0,2,1,2,NA
Ohio,1957,Male,0,1,0,0,1,1,1,0
Illinois,9998,Male,1,1,1,1,1,1,2,1
Connecticut,1954,Male,0,1,1,0,4,1,2,0
Oregon,1958,Female,1,1,0,1,1,1,1,1
Pennsylvania,1961,Male,0,0,1,0,4,2,3,1
Iowa,1957,Male,1,1,0,1,1,1,2,1
West Virginia,1950,Female,1,1,1,1,1,1,1,0
Pennsylvania,1960,Female,1,1,0,1,1,1,1,0
Michigan,1959,Female,0,1,0,0,1,1,1,0
Massachusetts,1960,Female,0,0,NA,1,1,3,4,0
North Carolina,1971,Female,0,0,1,1,1,1,1,0
Washington,1935,Male,0,0,1,0,4,2,1,0
Washington,1975,Male,0,0,1,0,4,2,2,1
Pennsylvania,1961,Male,0,1,1,0,2,2,4,1
Tennessee,1957,Female,1,1,0,1,1,1,1,1
Kentucky,1972,Male,1,1,NA,1,1,1,2,1
New York,1961,Male,1,1,0,1,1,1,2,0
Pennsylvania,1951,Male,1,1,1,1,1,1,1,1
California,1948,Male,1,1,1,0,4,2,2,1
Illinois,1962,Male,0,0,1,0,4,2,4,1
New Mexico,1961,Female,1,1,0,NA,1,1,1,1
Iowa,1953,Male,1,1,0,0,1,1,2,0
Not Asked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,1960,Female,1,0,1,0,2,1,2,0
Massachusetts,1979,Male,1,1,0,1,1,1,2,0
Connecticut,1958,Male,1,1,0,1,1,1,2,0
Texas,1949,Male,0,0,1,0,3,2,4,1
Michigan,1959,Male,1,1,0,1,1,1,2,0
New Hampshire,1971,Female,0,1,1,0,3,2,4,0
Michigan,1957,Male,0,0,1,0,1,1,2,0
