birth_year,sex,race,party_id,educ_2017,ft_black_2017,ft_white_2017,ft_hisp_2017,ft_asian_2017,ft_muslim_2017,ft_jew_2017,ft_christ_2017,ft_fem_2017,ft_immig_2017,ft_gays_2017,ft_unions_2017,ft_police_2017,ft_altright_2017,ft_evang_2017,ft_dem_2017,ft_rep_2017
1951,Female,White,Independent,4-year,55,97,69,77,NA,57,51,49,28,61,75,80,NA,49,NA,100
1971,Female,White,Democrat,4-year,100,70,100,100,100,100,10,100,100,100,80,40,0,0,95,0
1949,Male,White,Republican,High school graduate,69,78,41,40,21,51,100,5,3,2,3,100,61,99,2,69
1950,Male,Black,Democrat,Some college,100,100,99,100,100,100,100,11,100,100,100,100,6,100,52,53
1932,Female,White,Democrat,4-year,95,98,90,97,71,100,71,97,89,99,94,39,1,7,98,6
1955,Female,White,Independent,4-year,90,90,98,100,70,100,51,99,70,99,NA,80,NA,NA,41,NA
1947,Female,White,Independent,Some college,56,34,87,66,2,72,51,50,45,97,9,96,6,NA,NA,4
1936,Male,White,Democrat,Some college,75,76,79,76,58,81,76,79,76,79,85,51,2,30,48,10
1964,Male,White,Republican,Some college,71,79,51,51,9,88,100,3,16,51,10,88,81,93,6,17
1969,Female,White,Democrat,4-year,89,89,90,89,91,92,26,50,85,89,80,65,7,8,70,10
1953,Male,White,Independent,4-year,82,68,94,78,46,98,98,60,50,9,78,91,5,70,92,17
1947,Female,White,Democrat,High school graduate,25,95,25,25,25,25,100,50,25,50,25,100,50,75,100,25
1964,Male,White,Democrat,Post-grad,61,90,78,89,69,99,88,50,89,89,9,89,51,89,10,76
1940,Male,White,Republican,2-year,87,54,70,86,25,92,95,24,89,11,64,91,77,97,13,78
1948,Female,White,Republican,Post-grad,75,100,75,100,40,100,100,6,75,100,5,94,61,74,2,65
1973,Female,White,Democrat,High school graduate,100,100,100,100,100,100,100,100,100,100,91,87,0,51,95,0
1984,Female,Black,Democrat,2-year,94,70,84,79,78,81,51,69,70,78,62,13,6,25,78,37
1940,Female,White,Independent,High school graduate,73,87,86,83,66,87,75,87,70,81,71,94,NA,63,87,2
1948,Female,Hispanic,Independent,Post-grad,60,66,60,61,31,65,63,3,53,4,11,78,3,NA,55,48
1931,Female,White,Democrat,High school graduate,76,79,60,65,41,76,89,55,51,61,54,72,NA,80,73,12
1949,Female,White,Independent,2-year,80,75,75,71,71,72,73,59,69,80,66,70,3,40,65,25
1942,Female,White,Republican,High school graduate,42,86,34,71,20,94,97,18,7,36,9,90,14,91,7,91
1963,Male,White,Independent,4-year,94,51,78,91,21,96,0,51,50,50,70,41,0,0,41,0
1957,Male,White,Democrat,Post-grad,51,52,52,51,52,95,45,96,88,76,85,44,NA,41,96,NA
1953,Female,Hispanic,Republican,2-year,100,100,99,75,92,100,100,NA,53,53,NA,100,NA,84,26,100
1951,Male,White,Other,4-year,52,51,96,100,0,100,91,0,51,21,22,100,51,80,0,52
1937,Male,White,Republican,Post-grad,58,86,41,75,19,49,86,28,94,31,7,79,28,NA,6,99
1946,Female,White,Democrat,Some college,95,90,96,95,95,94,96,95,95,95,81,90,11,41,94,36
1935,Male,White,Independent,Some college,99,97,98,99,97,100,100,98,99,79,99,99,10,97,72,30
1953,Male,White,Independent,4-year,69,73,68,70,50,92,65,70,70,73,93,64,5,10,78,5
1972,Male,White,Independent,Post-grad,54,57,56,51,53,54,51,59,49,56,53,52,12,56,52,33
1968,Male,White,Republican,4-year,99,100,63,98,30,100,74,100,60,97,89,38,56,65,14,19
1963,Male,Mixed,Independent,Post-grad,66,70,73,81,23,NA,59,NA,70,53,NA,71,26,35,11,85
1969,Female,White,Republican,Post-grad,96,96,94,95,71,97,95,10,41,86,1,95,50,90,5,51
1965,Male,White,Democrat,Some college,34,80,80,80,50,70,51,70,70,81,70,70,0,25,70,25
1975,Male,White,Independent,4-year,100,100,100,100,100,100,71,100,91,100,25,41,50,80,31,50
1957,Male,White,Republican,4-year,66,79,77,91,11,89,91,30,75,51,2,100,82,86,1,91
1963,Male,White,Democrat,4-year,100,97,99,99,60,100,33,98,96,100,92,88,1,4,69,7
1954,Male,White,Independent,Post-grad,79,81,81,81,6,82,84,0,44,36,0,91,1,80,0,78
1947,Female,Black,Democrat,Post-grad,90,40,78,78,79,82,11,91,80,81,82,5,NA,NA,66,2
1934,Female,White,Republican,High school graduate,51,70,50,50,50,51,100,51,51,50,30,79,NA,NA,31,58
1972,Female,White,Democrat,Post-grad,83,62,81,81,81,66,44,78,50,80,52,51,5,10,69,15
1971,Male,White,Independent,4-year,54,50,89,91,5,20,31,36,69,79,52,66,NA,11,10,NA
1950,Female,White,Democrat,4-year,54,52,54,55,49,54,53,94,51,54,51,38,NA,2,54,0
1945,Male,White,Republican,High school graduate,5,52,7,19,2,99,100,3,6,4,3,81,7,79,3,28
1944,Male,White,Democrat,High school graduate,53,82,31,27,20,21,78,36,19,52,80,98,19,22,91,12
1962,Female,White,Republican,Some college,47,96,49,62,6,97,31,9,39,36,9,92,8,31,13,56
1953,Female,White,Republican,High school graduate,61,80,51,21,2,75,80,30,30,29,2,85,70,81,1,66
1947,Female,White,Democrat,Some college,97,91,99,91,76,94,21,99,80,99,82,46,0,0,60,5
1962,Male,White,Republican,2-year,81,87,78,76,65,92,90,8,76,7,2,100,83,84,1,91
1965,Male,White,Republican,Some college,99,99,99,99,24,99,98,25,100,99,23,100,10,99,20,99
1942,Male,White,Democrat,Post-grad,78,84,73,78,82,92,74,80,78,77,85,76,6,50,74,30
1957,Male,White,Independent,Post-grad,78,57,78,78,72,75,59,91,78,75,70,69,1,55,45,26
1961,Male,White,Democrat,Post-grad,100,53,100,100,100,100,78,100,100,100,100,56,NA,NA,100,NA
1953,Male,White,Republican,Some college,NA,95,90,90,46,90,97,78,53,95,89,95,79,89,37,89
1946,Female,White,Democrat,Some college,89,89,91,90,81,90,10,99,78,88,89,60,3,4,91,6
1956,Male,Hispanic,Republican,Some college,91,90,91,91,NA,92,89,NA,89,91,NA,51,NA,NA,NA,NA
1974,Female,White,Democrat,4-year,52,47,47,52,24,36,5,100,33,98,85,14,0,0,99,6
1974,Female,White,Democrat,4-year,52,6,78,80,78,77,1,100,83,86,95,63,1,3,78,1
1952,Female,White,Democrat,2-year,100,50,100,100,70,100,5,100,96,99,89,80,0,1,88,1
1956,Male,White,Independent,High school graduate,50,50,50,50,40,50,100,5,75,50,30,100,50,100,10,40
1963,Male,White,Democrat,4-year,75,79,53,84,52,93,53,50,50,62,49,13,5,3,96,3
1969,Female,White,Republican,2-year,67,82,93,84,19,96,91,34,43,97,65,89,96,62,21,61
1963,Male,Mixed,Independent,Post-grad,100,50,100,100,100,100,29,50,100,100,100,25,0,1,38,0
1931,Male,White,Republican,Post-grad,81,91,72,86,66,97,94,72,83,51,25,97,52,96,20,97
1971,Male,White,Democrat,4-year,40,71,40,75,45,80,50,50,40,50,35,80,0,0,80,0
1937,Female,White,Republican,High school graduate,52,100,50,73,9,NA,69,NA,50,28,NA,98,NA,67,5,96
1981,Male,Asian,Independent,4-year,69,72,77,82,73,85,73,59,96,76,72,96,14,68,82,85
1962,Male,White,Independent,Post-grad,90,30,75,60,50,50,50,50,87,50,60,50,NA,NA,50,18
1963,Male,White,Republican,4-year,52,51,51,51,52,50,50,50,100,50,3,98,75,51,3,78
1966,Male,Asian,Independent,2-year,71,81,45,58,13,46,76,75,50,63,59,85,63,62,94,35
1972,Male,Other,Republican,4-year,22,100,89,79,0,71,100,0,0,0,3,100,89,10,0,80
1949,Female,Black,Independent,High school graduate,100,51,85,86,51,50,51,84,88,62,50,1,3,1,50,2
1945,Female,White,Independent,2-year,100,100,100,100,3,100,86,21,30,81,66,100,30,16,11,21
1967,Male,White,Democrat,4-year,100,100,100,99,51,51,50,100,100,100,100,79,0,3,100,0
1965,Male,White,Republican,4-year,95,95,95,95,95,95,95,85,95,85,26,95,25,80,80,80
1960,Female,Hispanic,Democrat,4-year,97,53,99,97,100,97,50,96,99,100,0,80,0,0,81,0
1960,Female,White,Democrat,High school graduate,50,50,50,48,11,50,69,50,49,50,59,91,50,61,59,50
1960,Male,White,Other,Post-grad,21,75,6,86,1,91,99,0,4,34,NA,99,100,56,NA,15
1948,Male,Hispanic,Republican,2-year,90,90,80,90,20,85,90,20,15,25,40,95,50,90,20,70
1941,Male,White,Republican,4-year,81,85,85,84,62,88,89,31,83,52,50,96,83,76,21,40
1975,Male,Asian,Independent,4-year,60,70,66,66,10,60,80,5,75,75,6,95,51,85,40,60
1955,Male,Other,Independent,Some college,100,100,100,100,61,100,99,41,100,93,24,95,46,62,32,78
1950,Male,White,Republican,2-year,31,100,40,75,0,71,100,1,60,NA,60,75,0,65,0,80
1956,Male,White,Independent,4-year,61,89,50,50,1,50,48,1,29,53,39,78,49,27,1,50
1986,Male,White,Independent,4-year,50,50,50,50,50,50,50,50,50,50,50,50,16,50,75,41
1979,Male,White,Republican,4-year,59,85,34,20,22,27,52,4,21,41,19,92,6,3,22,77
1960,Male,White,Independent,Some college,49,51,51,51,51,50,100,0,50,51,13,79,49,100,5,84
1950,Male,White,Independent,Post-grad,50,50,50,50,51,50,49,60,60,50,60,46,NA,41,75,25
1961,Male,Native American,Democrat,Post-grad,80,81,85,81,71,80,80,90,70,79,94,50,6,50,90,6
1956,Female,Native American,Independent,4-year,92,100,100,99,86,97,30,75,100,100,49,75,3,12,47,20
1952,Male,White,Republican,Post-grad,50,50,50,50,50,50,50,10,50,50,25,100,50,50,5,75
1978,Male,White,Independent,Post-grad,70,70,80,80,6,50,50,56,70,60,40,80,41,21,31,11
1941,Male,White,Republican,2-year,20,NA,71,80,45,85,80,11,85,21,30,90,5,40,25,70
1952,Female,White,Democrat,4-year,100,100,100,100,100,100,100,100,100,100,100,81,0,9,90,2
1954,Male,White,Independent,4-year,77,81,72,79,69,62,30,72,70,88,100,0,78,9,75,0
1935,Female,White,Independent,Some college,94,78,77,49,24,86,95,21,45,50,48,88,NA,94,31,64
1954,Male,White,Republican,4-year,82,90,81,83,43,91,98,25,41,41,47,80,NA,90,14,76
1969,Male,Asian,Democrat,4-year,65,66,70,87,69,76,50,70,71,70,52,41,16,35,66,51
1956,Male,White,Republican,4-year,41,50,50,50,39,50,51,39,52,41,19,99,41,50,30,50
1944,Male,White,Republican,High school graduate,94,97,81,78,11,49,96,13,60,80,18,100,11,52,27,79
1953,Female,White,Independent,4-year,50,50,51,50,50,50,99,0,50,50,50,100,50,100,3,79
1973,Male,White,Republican,4-year,90,97,91,87,0,92,98,9,7,1,20,97,NA,66,7,97
1970,Male,White,Democrat,4-year,85,85,85,85,26,85,25,85,85,85,85,81,0,19,86,41
1952,Female,White,Democrat,Post-grad,94,78,100,97,96,95,71,98,88,96,94,85,1,19,100,21
1967,Male,White,Democrat,Post-grad,61,59,63,72,37,99,38,65,59,61,80,38,7,34,56,14
1982,Male,Mixed,Republican,Post-grad,50,50,30,36,15,75,81,1,42,11,32,83,0,40,2,30
1955,Female,White,Independent,Some college,78,68,81,78,85,98,75,99,76,100,91,30,28,23,74,30
1943,Female,Black,Democrat,Some college,77,76,25,52,51,26,98,25,75,24,51,80,NA,51,77,26
1983,Female,White,Democrat,4-year,50,52,50,50,51,56,52,81,63,81,50,32,7,30,60,25
1957,Male,White,Democrat,Post-grad,80,NA,82,90,10,100,6,97,91,100,84,13,NA,NA,81,NA
1946,Female,White,Democrat,High school graduate,100,75,100,100,100,75,50,100,100,100,100,70,5,5,80,40
1950,Female,White,Republican,4-year,64,79,59,70,62,70,74,53,63,NA,53,72,NA,80,16,71
1979,Male,Middle Eastern,Independent,Post-grad,94,90,92,89,97,97,81,94,81,50,NA,52,2,NA,46,31
1961,Male,Black,Democrat,4-year,50,50,50,50,50,50,80,100,80,50,100,80,0,1,80,0
1960,Male,White,Democrat,Post-grad,99,99,99,99,99,99,20,99,99,99,99,31,1,1,99,1
1981,Male,White,Independent,4-year,60,100,60,99,10,99,76,11,21,50,0,99,61,51,0,61
1956,Female,White,Independent,4-year,78,79,100,80,80,100,100,10,80,100,97,95,50,50,25,51
1958,Female,White,Independent,4-year,90,90,88,90,55,90,21,60,85,90,46,51,5,11,81,6
1961,Male,Other,Republican,Some college,47,80,52,53,0,52,85,0,6,6,44,100,99,99,1,46
1955,Male,White,Democrat,4-year,50,50,70,59,51,50,31,55,70,49,30,81,5,5,85,4
1950,Male,White,Independent,2-year,39,30,31,61,34,19,32,38,31,32,49,31,48,50,32,10
1955,Male,White,Independent,4-year,90,91,91,94,90,88,91,80,79,76,69,78,5,24,90,26
1958,Male,White,Democrat,Some college,61,50,50,51,50,50,30,76,50,76,90,60,3,26,65,6
1961,Male,Black,Democrat,Post-grad,100,99,100,100,94,100,4,100,100,100,94,50,0,1,81,2
1955,Male,White,Republican,4-year,74,89,80,95,90,89,91,24,96,69,19,99,30,88,30,40
1947,Male,White,Democrat,2-year,76,75,77,76,30,91,91,32,75,26,11,98,22,91,27,51
1978,Male,White,Independent,High school graduate,40,50,35,15,0,80,60,5,15,50,12,55,0,40,20,25
1936,Female,White,Republican,High school graduate,50,72,53,50,6,75,82,26,26,47,47,80,NA,76,25,85
1960,Female,Black,Democrat,4-year,66,81,92,86,91,84,72,78,78,56,50,85,48,82,98,61
1962,Male,White,Independent,4-year,97,19,99,91,92,67,28,100,86,94,80,21,NA,NA,61,NA
1976,Female,White,Democrat,4-year,50,92,52,83,51,62,3,100,55,94,9,65,2,3,60,8
1951,Male,White,Republican,4-year,82,77,75,86,43,93,NA,28,76,83,3,89,49,16,9,50
1939,Male,White,Republican,Post-grad,71,80,59,78,51,96,91,10,76,75,5,100,4,95,1,75
1967,Female,White,Republican,2-year,80,87,74,63,NA,86,100,NA,47,7,NA,97,NA,95,NA,85
1955,Female,White,Independent,High school graduate,NA,86,78,72,76,73,91,75,83,75,78,74,72,72,72,72
1960,Female,Mixed,Independent,Some college,70,90,91,100,91,100,90,88,70,100,60,100,NA,NA,66,2
1977,Male,White,Independent,4-year,50,52,50,56,36,90,91,16,50,52,49,94,10,50,7,91
1943,Male,Black,Democrat,2-year,90,91,60,91,59,55,90,50,70,70,82,60,5,30,100,41
1957,Male,White,Independent,4-year,75,75,75,74,88,79,63,81,77,64,57,84,0,12,52,47
1952,Male,White,Democrat,4-year,52,37,91,99,90,81,27,90,90,80,89,8,5,27,89,2
1955,Female,Hispanic,Democrat,Some college,93,59,98,96,89,87,8,NA,100,95,95,52,2,10,82,6
1961,Male,White,Democrat,High school graduate,9,80,10,8,6,15,50,12,3,17,15,3,9,8,30,27
1973,Male,White,Republican,4-year,85,90,100,100,47,100,100,21,66,59,23,100,87,69,28,86
1960,Male,White,Republican,2-year,50,90,50,90,36,76,75,26,61,65,31,60,80,50,20,60
1973,Male,White,Republican,4-year,83,100,84,99,56,98,82,43,93,50,38,90,11,35,33,27
1954,Male,Black,Democrat,4-year,97,79,42,4,3,91,92,30,4,3,77,6,53,83,81,14
1949,Female,White,Republican,Some college,39,100,100,100,26,100,100,34,84,56,95,99,39,100,9,100
1948,Male,White,Independent,4-year,89,90,77,75,51,96,99,21,81,75,91,90,21,90,20,11
1981,Female,White,Republican,Post-grad,57,81,47,75,46,43,86,9,69,81,96,97,33,50,29,71
1949,Male,White,Independent,Post-grad,100,70,94,99,100,100,41,96,100,100,90,62,4,10,81,2
1959,Male,White,Democrat,4-year,70,95,95,96,69,95,NA,41,80,100,60,50,NA,NA,81,NA
1956,Female,Black,Independent,2-year,100,90,NA,50,25,50,25,50,50,100,25,75,0,50,0,0
1969,Male,White,Independent,Some college,100,100,100,NA,1,99,100,20,80,3,25,100,11,20,6,59
1975,Male,White,Democrat,Some college,40,75,50,56,26,35,26,34,70,71,70,47,9,20,78,11
1986,Female,White,Democrat,Post-grad,100,99,100,100,98,100,81,100,98,100,33,59,0,0,100,7
1980,Female,White,Democrat,Post-grad,100,40,100,100,100,100,20,100,100,100,100,41,NA,NA,91,NA
1966,Male,Asian,Democrat,Post-grad,62,60,50,NA,49,49,34,50,69,47,49,49,0,1,NA,1
1985,Female,White,Other,4-year,58,61,79,99,39,98,78,29,69,80,9,86,50,38,29,79
1971,Female,Asian,Democrat,4-year,89,79,86,91,91,94,58,99,96,95,90,79,0,16,92,9
1949,Male,White,Democrat,2-year,88,88,81,87,86,89,78,26,86,88,32,98,55,79,56,56
1976,Female,White,Independent,4-year,53,48,53,53,54,55,13,52,76,54,15,46,13,13,26,16
1976,Female,White,Democrat,Post-grad,100,59,100,100,97,100,61,100,90,100,46,45,0,13,97,9
1959,Female,White,Democrat,4-year,84,83,84,76,79,83,81,74,70,98,79,43,3,41,80,29
1969,Female,White,Democrat,4-year,72,26,95,73,75,65,NA,81,70,90,48,70,NA,NA,75,NA
1982,Female,White,Democrat,Post-grad,50,50,50,50,50,50,50,50,50,50,50,50,0,31,70,11
1951,Male,White,Independent,Post-grad,70,72,71,75,40,83,61,59,66,56,36,91,16,60,20,65
1968,Female,Black,Independent,4-year,97,94,95,95,100,100,95,97,94,100,49,51,30,50,95,2
1984,Male,White,Democrat,2-year,71,78,50,49,37,49,0,50,52,78,78,49,3,1,98,40
1986,Female,White,Republican,Post-grad,99,100,59,70,NA,100,96,33,52,100,NA,61,NA,86,74,69
1973,Male,White,Independent,4-year,85,46,75,90,25,70,0,90,70,50,75,95,0,0,50,0
1962,Female,White,Democrat,Some college,90,87,91,88,69,90,30,97,90,99,81,72,84,9,77,30
1985,Female,White,Independent,Some college,50,51,53,47,51,51,51,24,50,53,51,50,2,51,53,27
1978,Female,Black,Democrat,4-year,18,0,11,0,4,13,53,33,1,1,47,1,0,25,31,1
1965,Female,Other,Democrat,Post-grad,99,87,100,100,95,99,52,100,91,79,78,80,NA,19,80,50
1977,Male,White,Independent,Post-grad,50,30,70,50,6,46,3,99,63,50,99,1,0,0,7,0
1964,Female,White,Democrat,Some college,75,75,75,75,75,75,75,75,75,75,75,75,50,75,75,1
1963,Male,White,Other,High school graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,24
1968,Male,White,Republican,Some college,50,80,NA,NA,NA,NA,50,NA,50,50,50,80,40,50,50,50
1977,Male,Other,Republican,Post-grad,78,73,79,81,50,70,66,83,78,91,76,83,1,11,81,NA
1977,Female,White,Democrat,4-year,47,97,52,29,12,41,21,11,34,7,33,41,22,43,90,53
1986,Male,White,Independent,4-year,89,45,94,97,89,83,53,75,99,95,100,55,1,3,42,34
1975,Female,White,Republican,Some college,100,100,100,100,94,100,99,26,89,100,5,NA,50,66,30,71
1941,Female,White,Democrat,4-year,84,65,66,91,61,89,79,61,69,81,51,72,6,25,81,30
1960,Male,White,Independent,4-year,93,73,88,93,49,93,99,NA,66,90,29,100,1,93,38,39
1966,Male,White,Independent,4-year,54,52,51,79,50,88,41,90,52,69,86,50,0,1,75,1
1950,Male,White,Democrat,4-year,69,93,99,85,52,98,69,71,76,88,75,100,NA,15,77,2
1969,Male,White,Republican,4-year,69,97,78,81,37,86,98,3,49,43,21,93,36,72,22,88
1969,Female,White,Independent,Post-grad,84,90,85,90,80,91,88,40,59,50,26,91,86,87,41,56
1945,Male,Black,Democrat,Post-grad,73,50,63,46,58,50,57,22,61,49,35,51,9,4,53,5
1945,Female,White,Democrat,Some college,79,80,76,78,73,79,74,65,79,80,28,85,4,16,78,7
1954,Male,White,Independent,4-year,79,56,81,82,56,84,31,75,81,85,79,85,1,2,59,2
1958,Male,Other,Other,Post-grad,70,80,85,80,20,95,95,3,49,2,10,96,20,96,1,55
1966,Male,White,Independent,4-year,NA,97,50,51,NA,40,99,NA,50,50,NA,95,50,31,NA,50
1950,Male,White,Independent,Some college,52,52,24,50,43,52,77,35,43,24,72,76,23,50,25,24
1974,Male,White,Other,Some college,41,96,70,95,3,16,80,6,16,20,6,41,100,56,21,44
1949,Male,White,Independent,2-year,93,96,94,95,95,95,40,50,89,51,100,50,2,11,80,7
1971,Female,White,Democrat,Post-grad,75,50,75,75,75,75,31,81,66,75,75,66,1,6,91,11
1933,Male,White,Independent,4-year,51,50,50,51,30,51,31,50,53,50,46,70,49,5,7,71
1953,Female,White,Democrat,4-year,84,27,78,89,67,90,68,84,78,72,88,55,0,9,97,NA
1941,Male,White,Democrat,Post-grad,50,50,50,50,1,50,40,90,51,90,61,90,0,0,75,6
1954,Female,White,Independent,Post-grad,70,50,67,69,54,55,40,75,66,60,65,77,1,29,60,13
1960,Male,White,Republican,2-year,68,87,86,66,43,85,81,60,59,85,78,100,NA,58,64,55
1928,Female,Hispanic,Democrat,Post-grad,99,98,94,98,97,100,72,98,99,100,99,85,4,2,99,1
1950,Female,White,Independent,Some college,78,94,57,73,12,98,100,30,31,49,NA,82,34,NA,1,NA
1944,Female,White,Democrat,High school graduate,80,82,81,0,0,90,90,2,1,84,1,91,3,72,0,0
1927,Male,White,Democrat,2-year,80,70,79,80,71,69,80,79,80,51,30,50,NA,41,91,NA
1937,Female,White,Democrat,Post-grad,81,80,88,51,81,100,70,88,75,69,82,89,3,34,89,29
1967,Male,White,Other,Post-grad,100,100,100,100,100,100,100,100,100,50,100,30,0,10,41,0
1943,Male,White,Democrat,2-year,69,82,66,86,62,86,80,83,71,78,83,67,0,44,86,43
1965,Male,Hispanic,Democrat,4-year,57,51,76,78,50,40,22,63,52,73,84,48,1,10,77,7
1932,Male,White,Republican,High school graduate,49,94,78,88,3,96,97,7,52,4,48,99,4,98,50,75
1965,Male,Black,Democrat,Post-grad,100,97,100,100,100,94,98,100,100,100,100,78,0,91,100,0
1970,Male,White,Democrat,Post-grad,70,70,75,70,80,70,80,70,75,91,75,70,0,6,51,2
1955,Female,Black,Independent,2-year,100,100,100,100,70,100,100,100,100,100,60,100,50,100,63,63
1932,Male,White,Independent,Post-grad,56,50,55,71,66,9,54,51,66,74,65,80,1,8,53,0
1943,Female,White,Democrat,High school graduate,94,94,94,84,56,98,97,87,68,94,83,91,NA,97,65,73
1967,Male,Black,Republican,4-year,75,75,70,71,50,66,50,21,50,51,27,70,3,26,11,10
1952,Female,White,Republican,Post-grad,47,50,51,53,39,48,50,30,41,48,24,69,22,47,6,67
1953,Male,White,Independent,4-year,50,61,50,50,50,50,45,55,50,50,60,49,4,5,50,41
1969,Male,White,Independent,Post-grad,89,89,89,90,88,87,88,79,90,89,88,89,6,40,79,34
1953,Female,Hispanic,Democrat,4-year,99,100,100,100,95,99,76,100,100,92,96,100,1,21,100,31
1959,Male,White,Independent,Post-grad,79,88,84,87,81,88,48,97,88,81,93,47,1,5,72,13
1934,Male,White,Democrat,4-year,76,76,76,76,76,76,76,86,76,76,86,86,1,61,86,51
1937,Female,White,Democrat,2-year,100,100,100,100,100,100,100,100,100,100,95,71,90,85,90,81
1936,Male,White,Democrat,4-year,88,89,91,92,90,91,87,88,88,86,88,83,3,50,78,28
1955,Female,White,Democrat,4-year,100,100,100,100,100,100,41,100,100,100,100,73,NA,0,89,28
1948,Female,Black,Independent,2-year,99,59,97,66,59,98,78,56,57,69,41,72,NA,82,48,37
1938,Male,White,Independent,Post-grad,75,72,88,85,NA,91,NA,82,NA,92,63,91,NA,29,63,NA
1974,Female,White,Democrat,4-year,100,100,100,100,100,100,81,100,95,100,100,68,20,39,91,32
1966,Male,White,Independent,2-year,100,97,97,97,97,97,43,100,99,100,100,99,NA,8,53,18
1954,Male,Black,Democrat,Post-grad,75,56,55,60,60,80,65,61,60,56,80,57,1,55,91,21
1953,Female,White,Independent,4-year,55,50,80,58,1,98,100,2,52,0,5,90,50,100,0,80
1985,Female,Black,Democrat,Post-grad,81,27,75,72,75,75,33,23,77,69,9,17,NA,3,50,8
1966,Female,White,Independent,4-year,51,51,50,50,49,51,40,58,50,58,50,62,1,20,71,16
1970,Female,White,Democrat,Post-grad,90,50,92,91,NA,60,NA,91,79,91,90,52,NA,0,90,NA
1956,Female,White,Democrat,High school graduate,100,90,100,100,100,100,50,80,100,100,89,80,2,7,100,0
1947,Female,White,Democrat,Some college,11,100,3,13,3,78,51,55,9,80,21,80,50,3,100,1
1942,Male,White,Independent,Some college,98,98,98,99,97,99,50,90,95,99,90,95,NA,20,80,30
1964,Male,Hispanic,Republican,4-year,65,90,35,81,4,76,61,48,12,69,8,100,16,75,25,92
1986,Male,White,Democrat,Post-grad,100,53,100,90,99,84,81,99,98,100,100,21,0,29,65,42
1952,Female,White,Democrat,Post-grad,81,76,84,83,70,82,56,80,86,80,81,66,NA,4,86,3
1983,Female,White,Democrat,Some college,92,69,88,94,90,91,22,52,92,95,23,93,9,36,100,26
1967,Male,White,Independent,Post-grad,50,52,50,98,3,50,53,1,77,6,2,82,NA,50,2,73
1982,Male,White,Democrat,Post-grad,90,95,89,93,86,98,72,92,91,92,97,49,0,NA,98,8
1955,Male,White,Republican,Post-grad,37,76,37,50,0,67,90,0,40,50,50,96,50,76,0,60
1964,Male,White,Independent,4-year,51,79,50,70,1,40,49,1,51,50,70,79,70,21,1,29
1941,Female,White,Democrat,Post-grad,79,66,71,84,81,86,25,86,79,85,73,49,1,3,73,3
1975,Male,White,Democrat,Post-grad,81,88,92,89,81,96,83,90,79,91,84,79,1,54,88,17
1943,Male,Black,Independent,Post-grad,70,70,80,90,50,85,91,11,75,30,10,91,11,90,0,41
1937,Female,White,Democrat,2-year,97,75,86,83,81,79,50,95,87,95,78,84,4,10,86,7
1951,Female,White,Independent,High school graduate,75,58,65,51,70,50,50,50,NA,80,70,90,25,NA,25,NA
1946,Male,Black,Independent,Post-grad,51,54,53,51,55,53,44,50,55,73,50,60,1,17,52,20
1945,Male,White,Democrat,4-year,51,50,50,51,91,50,1,81,50,80,100,51,0,0,90,2
1948,Male,White,Independent,High school graduate,91,85,86,85,85,83,78,85,90,94,93,96,1,49,52,2
1937,Female,White,Independent,High school graduate,70,90,80,80,40,90,95,50,60,70,40,97,NA,95,30,75
1966,Male,Other,Independent,4-year,52,58,53,63,55,55,26,75,51,53,78,78,2,7,84,27
1953,Male,White,Independent,High school graduate,1,55,14,26,1,36,60,0,0,0,0,51,0,50,0,3
1938,Male,White,Independent,Post-grad,72,79,66,77,73,78,79,100,68,75,100,51,4,78,50,NA
1970,Male,White,Independent,2-year,97,49,91,95,51,50,NA,69,81,94,59,10,94,NA,56,NA
1946,Female,White,Democrat,High school graduate,69,50,89,61,61,98,19,100,53,98,92,70,0,3,70,1
1969,Female,White,Democrat,4-year,87,76,83,87,84,90,77,87,85,100,50,97,0,0,100,30
1991,Female,White,Democrat,Post-grad,64,52,77,46,78,91,64,90,70,90,81,84,63,61,58,66
1966,Male,White,Independent,4-year,100,100,100,100,99,100,25,50,100,100,76,99,0,3,29,25
1951,Male,White,Independent,High school graduate,60,60,91,75,6,60,95,6,75,4,41,96,51,95,3,41
1947,Male,White,Independent,No HS,50,50,50,50,51,51,51,50,51,50,51,81,3,25,51,50
1963,Male,White,Democrat,Post-grad,40,75,75,90,5,40,0,90,100,100,75,50,0,0,80,0
1967,Female,White,Not sure,Post-grad,32,79,52,77,50,69,75,64,61,31,79,78,3,64,3,2
1965,Male,Mixed,Independent,Some college,73,78,76,79,76,76,48,68,86,79,50,63,24,31,76,47
1958,Female,White,Independent,4-year,97,92,94,94,95,97,95,95,92,97,90,98,5,95,90,59
1976,Male,White,Democrat,2-year,50,50,50,50,50,50,50,63,51,69,78,79,4,46,66,11
1973,Female,White,Democrat,Some college,100,56,100,100,80,100,61,100,100,100,100,60,0,20,75,0
1951,Female,White,Democrat,Post-grad,50,50,53,80,50,50,62,92,50,53,99,87,6,57,98,2
1972,Male,White,Independent,Post-grad,72,60,60,72,63,70,63,47,61,100,94,94,50,61,66,33
1977,Female,White,Independent,Some college,77,65,94,86,67,88,67,89,86,77,25,80,0,71,1,1
1951,Male,White,Republican,High school graduate,88,91,66,69,27,87,100,7,32,81,20,99,50,90,2,44
